Îì±Ïàò        Ïù¥Î¶Ñ        ÌïôÎ≤à        Íµ≠Ïñ¥Ï†êÏàò  ÏòÅÏñ¥Ï†êÏàò  ÏàòÌïôÏ†êÏàò  Ï¥ùÏ†ê        ÌèâÍ∑†        
1             ¡∂¿∫»Ò        16040304      100           100           100           300           100           
2             ∑˘ºˆ∫Û        17100407      90            100           100           290           96.6667       
3             ±Ë¿∫±‘        14103407      90            100           100           290           96.6667       
4             ±Ëæ∆∏ß        16094034      89            89            98            276           92            
5             ±Ë»Ò√∂        14100407      88            95            90            273           91            
6             ¿Ã¿Áø≠        14100409      93            99            80            272           90.6667       
7             ±Ë«ˆ¡æ        14104050      89            56            100           245           81.6667       
8             º€πŒº¯        15002343      80            70            76            226           75.3333       
9             ¿Ã∞ÊªÛ        14104040      90            78            56            224           74.6667       
10            ¿±º±±Ÿ        14010340      76            89            56            221           73.6667       
11            ∞≠ø¯øÏ        14100455      45            67            100           212           70.6667       
12            πÆ¡ˆ»£        14600040      90            45            76            211           70.3333       
13            √÷¿Á¿∫        14100878      67            78            56            201           67            
14            π›ªÛ«Â        14104056      56            56            89            201           67            
15            ±Ëº∫øÎ        14045043      89            67            45            201           67            
16            æ»∞«æ∆        14100479      56            34            89            179           59.6667       
17            ¡§«ˆ¡¯        14050504      89            56            34            179           59.6667       
18            º€πŒºÆ        15010504      30            30            100           160           53.3333       
19            ¿Ã«–¡÷        14100443      55            60            30            145           48.3333       
20            ¡∂øÎπ¸        14104040      90            10            45            145           48.3333       
