등수          이름          학번          1과목       2과목       3과목       4과목       5과목       6과목       7과목       8과목       총점          평균          
1             조은희       16040304      100        100        100        10         88         95         90         10         593       74.125    
2             류수빈       17100407      90         100        100        10         88         95         90         10         583       72.875    
3             김은규       14103407      90         100        100        10         88         95         90         10         583       72.875    
4             김아름       16094034      89         89         98         10         88         95         90         10         569       71.125    
5             김희철       14100407      88         95         90         10         88         95         90         10         566       70.75     
6             이재열       14100409      93         99         80         10         88         95         90         10         565       70.625    
7             김현종       14104050      89         56         100        10         88         95         90         10         538       67.25     
8             송민순       15002343      80         70         76         10         88         95         90         10         519       64.875    
9             이경상       14104040      90         78         56         10         88         95         90         10         517       64.625    
10            윤선근       14010340      76         89         56         10         88         95         90         10         514       64.25     
11            강원우       14100455      45         67         100        10         88         95         90         10         505       63.125    
12            문지호       14600040      90         45         76         10         88         95         90         10         504       63        
13            최재은       14100878      67         78         56         10         88         95         90         10         494       61.75     
14            반상헌       14104056      56         56         89         10         88         95         90         10         494       61.75     
15            김성용       14045043      89         67         45         10         88         95         90         10         494       61.75     
16            안건아       14100479      56         34         89         10         88         95         90         10         472       59        
17            정현진       14050504      89         56         34         10         88         95         90         10         472       59        
18            송민석       15010504      30         30         100        10         88         95         90         10         453       56.625    
19            이학주       14100443      55         60         30         10         88         95         90         10         438       54.75     
20            조용범       14104040      90         10         45         10         88         95         90         10         438       54.75     
